id,Title,Content,SKU,"Product Type","Parent Product ID","Товар Этаж квартиры","Товар Состояние дома","Товар Этажность дома","Товар Район","Товар Площадь участка","Товар За квадратный метр","Товар Название ЖК","Товар Количество комнат","Товар Метраж","Product Attributes"
123,Дом,,,simple,0,,,2,Киевский,,,,3,45,"a:4:{s:15:""pa_rooms_number"";a:6:{s:4:""name"";s:15:""pa_rooms_number"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:9:""pa_square"";a:6:{s:4:""name"";s:9:""pa_square"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:17:""pa_building_floor"";a:6:{s:4:""name"";s:17:""pa_building_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_district"";a:6:{s:4:""name"";s:11:""pa_district"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
125,"Двухкомнатная квартира",,,simple,0,4,,5,Киевский,,,,2,29,"a:5:{s:15:""pa_rooms_number"";a:6:{s:4:""name"";s:15:""pa_rooms_number"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:9:""pa_square"";a:6:{s:4:""name"";s:9:""pa_square"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:18:""pa_apartment_floor"";a:6:{s:4:""name"";s:18:""pa_apartment_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:17:""pa_building_floor"";a:6:{s:4:""name"";s:17:""pa_building_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_district"";a:6:{s:4:""name"";s:11:""pa_district"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
126,"Однокомнатная квартира",,,simple,0,5,Сдан,5,Приморский,,,"Радужный ЖК",1,29,"a:7:{s:15:""pa_rooms_number"";a:6:{s:4:""name"";s:15:""pa_rooms_number"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:9:""pa_square"";a:6:{s:4:""name"";s:9:""pa_square"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:18:""pa_apartment_floor"";a:6:{s:4:""name"";s:18:""pa_apartment_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:17:""pa_building_floor"";a:6:{s:4:""name"";s:17:""pa_building_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_district"";a:6:{s:4:""name"";s:11:""pa_district"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:21:""pa_residental_complex"";a:6:{s:4:""name"";s:21:""pa_residental_complex"";s:5:""value"";s:0:"""";s:8:""position"";i:5;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:21:""pa_building_condition"";a:6:{s:4:""name"";s:21:""pa_building_condition"";s:5:""value"";s:0:"""";s:8:""position"";i:6;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
129,"Двухкомнатная квартира","Продается 2 - комнатная в г.Одесса. Приморский район/Среднефонтанская, ул.Сегедская.

Хорошая транспортная развязка в любую точку города, отличная инфраструктура. 4 этаж 5 этажного дома. Квартира в хорошем состоянии, балкон застеклен, металлопластиковые окна, счетчики на воду, в санузле и кухне кафель, в комнате пол - паркет, бронированная входная дверь. Общая площадь - 32,2 кв. м., жилая - 15,6 кв. м., кухня 6,6 кв. м.

Есть возможность продажи квартиры со всей мебелью и техникой. В квартире остается вся мебель и техника.",,simple,0,3,,5,Киевский,,11900,"Радужный ЖК",2,29,"a:7:{s:15:""pa_rooms_number"";a:6:{s:4:""name"";s:15:""pa_rooms_number"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:9:""pa_square"";a:6:{s:4:""name"";s:9:""pa_square"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:18:""pa_apartment_floor"";a:6:{s:4:""name"";s:18:""pa_apartment_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:17:""pa_building_floor"";a:6:{s:4:""name"";s:17:""pa_building_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:15:""pa_price_square"";a:6:{s:4:""name"";s:15:""pa_price_square"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:21:""pa_residental_complex"";a:6:{s:4:""name"";s:21:""pa_residental_complex"";s:5:""value"";s:0:"""";s:8:""position"";i:5;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_district"";a:6:{s:4:""name"";s:11:""pa_district"";s:5:""value"";s:0:"""";s:8:""position"";i:6;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
130,"Трехкомнатная квартира","Продается 3 - комнатная в г.Одесса. Приморский район/Среднефонтанская, ул.Сегедская.

Хорошая транспортная развязка в любую точку города, отличная инфраструктура. 4 этаж 5 этажного дома. Квартира в хорошем состоянии, балкон застеклен, металлопластиковые окна, счетчики на воду, в санузле и кухне кафель, в комнате пол - паркет, бронированная входная дверь. Общая площадь - 32,2 кв. м., жилая - 15,6 кв. м., кухня 6,6 кв. м.

Есть возможность продажи квартиры со всей мебелью и техникой. В квартире остается вся мебель и техника.",,simple,0,2,,9,Приморский,,7500,,3,47,"a:6:{s:15:""pa_rooms_number"";a:6:{s:4:""name"";s:15:""pa_rooms_number"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:9:""pa_square"";a:6:{s:4:""name"";s:9:""pa_square"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:18:""pa_apartment_floor"";a:6:{s:4:""name"";s:18:""pa_apartment_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:17:""pa_building_floor"";a:6:{s:4:""name"";s:17:""pa_building_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:15:""pa_price_square"";a:6:{s:4:""name"";s:15:""pa_price_square"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_district"";a:6:{s:4:""name"";s:11:""pa_district"";s:5:""value"";s:0:"""";s:8:""position"";i:5;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
131,"Трехкомнатная квартира","Продается 3 - комнатная в г.Одесса. Приморский район/Среднефонтанская, ул.Сегедская.

Хорошая транспортная развязка в любую точку города, отличная инфраструктура. 4 этаж 5 этажного дома. Квартира в хорошем состоянии, балкон застеклен, металлопластиковые окна, счетчики на воду, в санузле и кухне кафель, в комнате пол - паркет, бронированная входная дверь. Общая площадь - 32,2 кв. м., жилая - 15,6 кв. м., кухня 6,6 кв. м.

Есть возможность продажи квартиры со всей мебелью и техникой. В квартире остается вся мебель и техника.",,simple,0,4,Сдан,21,Киевский,,5000,"Радужный ЖК",3,29,"a:8:{s:21:""pa_residental_complex"";a:6:{s:4:""name"";s:21:""pa_residental_complex"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_district"";a:6:{s:4:""name"";s:11:""pa_district"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:21:""pa_building_condition"";a:6:{s:4:""name"";s:21:""pa_building_condition"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:9:""pa_square"";a:6:{s:4:""name"";s:9:""pa_square"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:15:""pa_price_square"";a:6:{s:4:""name"";s:15:""pa_price_square"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:18:""pa_apartment_floor"";a:6:{s:4:""name"";s:18:""pa_apartment_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:5;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:17:""pa_building_floor"";a:6:{s:4:""name"";s:17:""pa_building_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:6;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:15:""pa_rooms_number"";a:6:{s:4:""name"";s:15:""pa_rooms_number"";s:5:""value"";s:0:"""";s:8:""position"";i:7;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
143,Участок,,,simple,0,,,,Суворовский,,,,,60,"a:2:{s:9:""pa_square"";a:6:{s:4:""name"";s:9:""pa_square"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_district"";a:6:{s:4:""name"";s:11:""pa_district"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
144,"Однокомнатная квартира",,,simple,0,4,Сдан,20,Киевский,,,"Радужный ЖК",1,29,"a:7:{s:15:""pa_rooms_number"";a:6:{s:4:""name"";s:15:""pa_rooms_number"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:18:""pa_apartment_floor"";a:6:{s:4:""name"";s:18:""pa_apartment_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:17:""pa_building_floor"";a:6:{s:4:""name"";s:17:""pa_building_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_district"";a:6:{s:4:""name"";s:11:""pa_district"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:9:""pa_square"";a:6:{s:4:""name"";s:9:""pa_square"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:21:""pa_residental_complex"";a:6:{s:4:""name"";s:21:""pa_residental_complex"";s:5:""value"";s:0:"""";s:8:""position"";i:5;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:21:""pa_building_condition"";a:6:{s:4:""name"";s:21:""pa_building_condition"";s:5:""value"";s:0:"""";s:8:""position"";i:6;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
145,"Однокомнатная квартира",,,simple,0,4,Сдан,20,Киевский,,,"Радужный ЖК",1,29,"a:7:{s:15:""pa_rooms_number"";a:6:{s:4:""name"";s:15:""pa_rooms_number"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:18:""pa_apartment_floor"";a:6:{s:4:""name"";s:18:""pa_apartment_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:17:""pa_building_floor"";a:6:{s:4:""name"";s:17:""pa_building_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_district"";a:6:{s:4:""name"";s:11:""pa_district"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:9:""pa_square"";a:6:{s:4:""name"";s:9:""pa_square"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:21:""pa_residental_complex"";a:6:{s:4:""name"";s:21:""pa_residental_complex"";s:5:""value"";s:0:"""";s:8:""position"";i:5;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:21:""pa_building_condition"";a:6:{s:4:""name"";s:21:""pa_building_condition"";s:5:""value"";s:0:"""";s:8:""position"";i:6;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
146,"Однокомнатная квартира",,,simple,0,4,Сдан,20,Киевский,,3700,"Радужный ЖК",1,32,"a:8:{s:15:""pa_rooms_number"";a:6:{s:4:""name"";s:15:""pa_rooms_number"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:18:""pa_apartment_floor"";a:6:{s:4:""name"";s:18:""pa_apartment_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:17:""pa_building_floor"";a:6:{s:4:""name"";s:17:""pa_building_floor"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_district"";a:6:{s:4:""name"";s:11:""pa_district"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:9:""pa_square"";a:6:{s:4:""name"";s:9:""pa_square"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:21:""pa_residental_complex"";a:6:{s:4:""name"";s:21:""pa_residental_complex"";s:5:""value"";s:0:"""";s:8:""position"";i:5;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:21:""pa_building_condition"";a:6:{s:4:""name"";s:21:""pa_building_condition"";s:5:""value"";s:0:"""";s:8:""position"";i:6;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:15:""pa_price_square"";a:6:{s:4:""name"";s:15:""pa_price_square"";s:5:""value"";s:0:"""";s:8:""position"";i:7;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
